mID,aID
271110,7624
271110,150194
44833,60900
44833,28846
44833,13275
44833,3896
44833,88124
44833,98953
44833,60875
44833,36602
44833,23429
44833,55205
44833,68180
44833,17838
44833,3218
44833,928532
44833,1049830
44833,84756
135397,73457
135397,18997
135397,76793
135397,7132
135397,17181
135397,543505
135397,14592
135397,20750
135397,116278
135397,170635
135397,59297
135397,11669
135397,97446
37724,8784
37724,5309
37724,3810
37724,5469
37724,2038
37724,3926
37724,17064
37724,139549
37724,15737
37724,118617
558,2219
558,205
558,17051
558,658
558,18998
558,2517
558,18999
558,19152
558,5293
558,11357
558,7624
558,74949
558,75316
558,25933
558,9281
558,18307
558,20644
558,20491
558,52847
558,4610
558,31549
558,11769
558,19153
558,2368
558,5502
558,15011
558,59846
558,19489
558,3218
558,62646
558,31508
558,27688
558,52271
558,11766
558,54586
558,1254435
558,1500999
68721,3223
68721,12052
68721,1896
68721,529
68721,15556
68721,15277
68721,2282
68721,18473
68721,121953
68721,6162
68721,6573
68721,46814
68721,17181
68721,15860
68721,17857
68721,1480047
68721,74086
68721,14670
68721,49275
68721,38709
68721,7624
68721,115974
68721,193946
68721,57251
68721,1366
68721,1221121
68721,1429470
68721,103
12155,76070
12155,85
12155,1813
12155,1283
12155,1064
12155,20982
12155,30083
12155,26209
12155,11855
12155,11276
12155,29237
12155,47468
12155,3968
12155,4566
12155,113
12155,11275
12155,9191
12155,3796
12155,11356
36668,6968
36668,4587
36668,1327
36668,2387
36668,10696
36668,10690
36668,7090
36668,11023
36668,11022
36668,27578
36668,11008
36668,11006
36668,980
36668,11107
36668,84222
36668,37046
36668,52414
36668,2131
36668,58115
36668,4776
36668,21041
36668,14792
36668,1103
36668,61555
36668,4741
36668,7624
36668,11616
62211,7904
62211,1230
62211,884
62211,15735
62211,52601
62211,21290
62211,95101
62211,658
62211,51383
62211,51797
62211,119592
62211,452205
62211,11806
62211,5149
62211,17697
62211,19278
62211,10
62211,7907
62211,7908
62211,1340664
8373,10959
8373,19537
8373,19536
8373,11678
8373,8169
8373,1241
8373,14721
8373,24305
8373,72985
8373,12797
8373,1331
8373,19540
8373,19541
8373,117187
8373,84495
8373,2962
8373,15761
8373,19384
8373,81178
8373,15831
8373,78798
8373,13919
8373,24362
8373,130081
8373,20582
8373,12793
8373,1295
91314,13240
91314,2283
91314,7090
91314,39389
91314,3971
91314,109432
91314,51990
91314,539
91314,19540
91314,15831
91314,1230
91314,3899
91314,2962
91314,31531
91314,15860
91314,19541
91314,117187
91314,27993
91314,6576
91314,18262
68728,17051
68728,18973
68728,3293
68728,1812
68728,5367
68728,8854
68728,125025
68728,19754
68728,123725
68728,11357
68728,11769
68728,11766
102382,37625
102382,54693
102382,134
102382,122889
102382,55152
102382,6368
102382,10132
102382,13242
102382,35
102382,558928
102382,72855
102382,20982
102382,2955
102382,107770
102382,5724
102382,61263
102382,7624
102382,9289
102382,190895
102382,8349
102382,94432
102382,1480047
20526,9828
20526,1229
20526,59315
20526,60033
20526,22063
20526,3968
20526,2037
49013,887
49013,15897
49013,3895
49013,1246
49013,1241
49013,1926
49013,3491
49013,3266
49013,31514
49013,11357
49013,4252
49013,11355
49013,25074
49013,15900
49013,22383
49013,13333
49013,5149
49013,11159
49013,15899
49013,381
49013,7907
49013,60074
49013,34515
49013,21125
49013,3202
44912,10859
44912,59175
44912,133
44912,504
44912,2983
44912,7242
44912,4602
